Rank,Player Name,Season,Plays,Total EPA,EPA/Play,Pass EPA,Rush EPA,Scramble %,Sack %,Success %,ADoT,Comp %,Pass Yards,Time To Throw,Pass TD,INT,YPA,Rush Yards,Rush TD,Bad%
1,Drake Maye,2025,642,169.96,0.26,159.8,10.16,10.47%,7.81%,52.96%,9.52,71.95%,4394,2.76,31,8,8.93,450,4,13.8
2,Jordan Love,2025,507,120.84,0.24,108.51,12.34,5.15%,4.33%,48.92%,9.42,66.29%,3381,2.72,23,6,7.7,199,0,14.6
3,Matthew Stafford,2025,649,109.09,0.17,140.93,-31.84,1.12%,3.67%,50.85%,9.51,64.99%,4707,2.63,46,8,7.88,1,0,18.1
4,Josh Allen,2025,612,104.43,0.17,65.66,38.77,9.09%,7.27%,48.86%,7.55,69.35%,3668,2.72,25,10,7.97,579,14,13.0
5,Patrick Mahomes,2025,600,96.25,0.16,67.09,29.16,9.00%,5.77%,49.00%,8.56,62.75%,3587,2.63,22,11,7.15,422,5,17.9
6,Dak Prescott,2025,684,94.09,0.14,103.52,-9.43,3.96%,4.72%,47.37%,8.23,67.33%,4552,2.62,30,10,7.59,177,2,12.5
7,Jared Goff,2025,635,92.04,0.14,106.46,-14.42,0.81%,6.12%,47.87%,6.8,67.99%,4564,2.52,34,8,7.9,45,0,15.8
8,Daniel Jones,2025,451,76.41,0.17,60.23,16.18,5.36%,5.13%,51.00%,8.24,67.97%,3101,2.54,19,8,8.08,164,5,12.1
9,Brock Purdy,2025,328,74.98,0.23,58.79,16.19,5.75%,3.51%,53.96%,7.93,69.37%,2167,3.0,20,10,7.63,147,3,12.3
10,Bo Nix,2025,717,63.64,0.09,55.23,8.41,5.37%,3.28%,43.93%,7.69,63.40%,3931,2.67,25,11,6.42,356,5,15.9
11,Trevor Lawrence,2025,683,60.67,0.09,34.88,25.79,6.68%,6.37%,47.73%,8.96,60.89%,4007,2.65,29,12,7.16,359,9,14.4
12,C.J. Stroud,2025,494,56.52,0.11,41.48,15.04,5.31%,4.88%,46.15%,8.49,64.54%,3041,2.67,19,8,7.19,209,1,17.6
